state,candidate_name,pct_trend_adjusted
New Mexico,Convention Bounce for Donald Trump,40.91528454545454
New Mexico,Convention Bounce for Joseph R. Biden Jr.,40.37090212121212
New Mexico,Donald Trump,40.95772757575757
New Mexico,Joseph R. Biden Jr.,53.69913939393939
New York,Convention Bounce for Donald Trump,39.29820939393939
New York,Convention Bounce for Joseph R. Biden Jr.,41.31727303030303
New York,Donald Trump,31.77690212121212
New York,Joseph R. Biden Jr.,62.13814818181819
North Carolina,Convention Bounce for Donald Trump,40.08920424242424
North Carolina,Convention Bounce for Joseph R. Biden Jr.,39.929117272727275
North Carolina,Donald Trump,46.35036242424243
North Carolina,Joseph R. Biden Jr.,48.85445333333333
North Dakota,Convention Bounce for Donald Trump,39.98802878787878
North Dakota,Convention Bounce for Joseph R. Biden Jr.,39.86609666666667
North Dakota,Donald Trump,57.011580606060605
North Dakota,Joseph R. Biden Jr.,37.199639999999995
Ohio,Convention Bounce for Donald Trump,40.1108693939394
Ohio,Convention Bounce for Joseph R. Biden Jr.,40.041485151515154
Ohio,Donald Trump,47.10850696969697
Ohio,Joseph R. Biden Jr.,46.9331806060606
Oklahoma,Convention Bounce for Donald Trump,40.64554090909091
Oklahoma,Convention Bounce for Joseph R. Biden Jr.,40.17760545454544
Oklahoma,Donald Trump,58.34040363636364
Oklahoma,Joseph R. Biden Jr.,35.784655757575756
Oregon,Convention Bounce for Donald Trump,40.043399393939396
Oregon,Convention Bounce for Joseph R. Biden Jr.,40.077601515151514
Oregon,Donald Trump,37.782005454545455
Oregon,Joseph R. Biden Jr.,56.938625757575764
Pennsylvania,Convention Bounce for Donald Trump,40.018263636363635
Pennsylvania,Convention Bounce for Joseph R. Biden Jr.,40.04881363636363
Pennsylvania,Donald Trump,44.343824545454545
Pennsylvania,Joseph R. Biden Jr.,50.48874151515152
Rhode Island,Convention Bounce for Donald Trump,40.25542967741936
Rhode Island,Convention Bounce for Joseph R. Biden Jr.,40.38001677419356
Rhode Island,Donald Trump,33.61733645161291
Rhode Island,Joseph R. Biden Jr.,62.74821096774193
South Carolina,Convention Bounce for Donald Trump,40.06182333333334
South Carolina,Convention Bounce for Joseph R. Biden Jr.,39.725972727272726
South Carolina,Donald Trump,50.674604242424245
South Carolina,Joseph R. Biden Jr.,43.84969787878788
South Dakota,Convention Bounce for Donald Trump,40.67028258064516
South Dakota,Convention Bounce for Joseph R. Biden Jr.,40.55632838709678
South Dakota,Donald Trump,55.15540419354838
South Dakota,Joseph R. Biden Jr.,39.39923
Tennessee,Convention Bounce for Donald Trump,40.54951090909091
Tennessee,Convention Bounce for Joseph R. Biden Jr.,40.41012181818182
Tennessee,Donald Trump,54.34741878787879
Tennessee,Joseph R. Biden Jr.,40.94774030303031
Texas,Convention Bounce for Donald Trump,39.85902303030303
Texas,Convention Bounce for Joseph R. Biden Jr.,39.791355151515155
Texas,Donald Trump,48.14231424242425
Texas,Joseph R. Biden Jr.,46.779100303030305
Utah,Convention Bounce for Donald Trump,40.256450303030306
Utah,Convention Bounce for Joseph R. Biden Jr.,40.11522363636363
Utah,Donald Trump,51.306735151515156
Utah,Joseph R. Biden Jr.,39.611643030303036
Vermont,Convention Bounce for Donald Trump,40.357896060606066
Vermont,Convention Bounce for Joseph R. Biden Jr.,40.30543242424243
Vermont,Donald Trump,29.862103636363635
Vermont,Joseph R. Biden Jr.,62.73867878787879
Virginia,Convention Bounce for Donald Trump,40.36903727272727
Virginia,Convention Bounce for Joseph R. Biden Jr.,40.42668181818182
Virginia,Donald Trump,40.74345909090909
Virginia,Joseph R. Biden Jr.,52.80268787878788
Washington,Convention Bounce for Donald Trump,40.06457575757575
Washington,Convention Bounce for Joseph R. Biden Jr.,40.02219818181818
Washington,Donald Trump,34.63780484848485
Washington,Joseph R. Biden Jr.,59.55295181818182
West Virginia,Convention Bounce for Donald Trump,40.345776060606056
West Virginia,Convention Bounce for Joseph R. Biden Jr.,40.54686818181818
West Virginia,Donald Trump,60.6307793939394
West Virginia,Joseph R. Biden Jr.,35.08318818181818
Wisconsin,Convention Bounce for Donald Trump,40.07370696969697
Wisconsin,Convention Bounce for Joseph R. Biden Jr.,39.989543030303025
Wisconsin,Donald Trump,43.600867575757576
Wisconsin,Joseph R. Biden Jr.,50.92604424242425
Wyoming,Convention Bounce for Donald Trump,40.737258064516126
Wyoming,Convention Bounce for Joseph R. Biden Jr.,40.62929612903227
Wyoming,Donald Trump,65.96046387096774
Wyoming,Joseph R. Biden Jr.,29.469964516129036
